state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
NM,Chaves (County),,28,,,100,
NM,Cibola (County),,16,,,100,
NM,Colfax (County),,5,,,100,
NM,Curry (County),,23,,,100,
NM,DeBaca (County),,2,,,100,
NM,Dona Ana (County),,127,,,100,
NM,Eddy (County),,14,,,100,
NM,Grant (County),,5,,,100,
NM,Guadalupe (County),,1,,,100,
NM,Lea (County),,15,,,100,
NM,Lincoln (County),,2,,,100,
NM,Los Alamos (County),,1,,,100,
NM,Luna (County),,11,,,100,
NM,McKinley (County),,67,,,100,
NM,Otero (County),,11,,,100,
NM,Quay (County),,1,,,100,
NM,Rio Arriba (County),,11,,,100,
NM,Roosevelt (County),,4,,,100,
NM,San Juan (County),,87,,,100,
NM,San Miguel (County),,3,,,100,
NM,Sandoval (County),,79,,,100,
NM,Santa Fe (County),,42,,,100,
NM,Sierra (County),,5,,,100,
NM,Socorro (County),,3,,,100,
NM,Taos (County),,11,,,100,
NM,Torrance (County),,1,,,100,
NM,Union (County),,1,,,100,
NM,Valencia (County),,11,,,100,
NV,Carson City,,22,,,100,
NV,Churchill (County),,4,,,100,
NV,Clark (County),,1435,,,100,
NV,Douglas (County),,6,,,100,
NV,Elko (County),,2,,,100,
NV,Humboldt (County),,1,,,100,
NV,Lander (County),,1,,,100,
NV,Lyon (County),,2,,,100,
NV,Nye (County),,14,,,100,
NV,Pershing (County),,2,,,100,
NV,Washoe (County),,160,,,100,
NV,White Pine (County),,1,,,100,
NY,Albany (County),114,961,12,10.5,88.4,1.1
NY,Allegany (County),,11,,,100,
NY,Bronx (County),243,7185,30,3.3,96.3,0.4
NY,Broome (County),3291,6010,80,35.1,64.1,0.9
NY,Cattaraugus (County),,21,,,100,
NY,Cayuga (County),,18,,,100,
NY,Chautauqua (County),,21,,,100,
NY,Chemung (County),21,143,1,12.7,86.7,0.6
NY,Chenango (County),224,586,13,27.2,71.2,1.6
NY,Clinton (County),58,378,4,13.2,85.9,0.9
NY,Columbia (County),22,277,6,7.2,90.8,2
NY,Cortland (County),,13,,,100,
NY,Delaware (County),307,787,30,27.3,70,2.7
NY,Dutchess (County),284,2066,14,12,87.4,0.6
NY,Erie (County),,670,,,100,
NY,Essex (County),134,437,8,23.1,75.5,1.4
NY,Franklin (County),,4,,,100,
NY,Fulton (County),8,52,1,13.1,85.2,1.6
NY,Genesee (County),,23,,,100,
NY,Greene (County),390,1378,36,21.6,76.4,2
NY,Herkimer (County),32,351,4,8.3,90.7,1
NY,Jefferson (County),,29,,,100,
NY,Kings (County),8460,49114,311,14.6,84.8,0.5
NY,Lewis (County),,5,,,100,
NY,Livingston (County),,13,,,100,
NY,Madison (County),,21,,,100,
NY,Monroe (County),,395,,,100,
NY,Montgomery (County),136,438,7,23.4,75.4,1.2
NY,Nassau (County),13585,68303,274,16.5,83.1,0.3
NY,New York (County),1033,21883,36,4.5,95.3,0.2
NY,Niagara (County),,104,,,100,
NY,Oneida (County),37,631,8,5.5,93.3,1.2
NY,Onondaga (County),,233,,,100,
NY,Ontario (County),,29,,,100,
NY,Orange (County),1047,6990,64,12.9,86.3,0.8
NY,Orleans (County),,18,,,100,
NY,Oswego (County),,12,,,100,
NY,Otsego (County),123,597,12,16.8,81.6,1.6
NY,Putnam (County),87,964,9,8.2,90.9,0.8
NY,Queens (County),8694,50335,303,14.7,84.8,0.5
NY,Rensselaer (County),133,739,8,15.1,84,0.9
NY,Richmond (County),3892,20653,135,15.8,83.7,0.5
NY,Rockland (County),427,5294,31,7.4,92,0.5
NY,Saratoga (County),108,361,3,22.9,76.5,0.6
NY,Schenectady (County),270,1213,5,18.1,81.5,0.3
NY,Schoharie (County),637,1237,20,33.6,65.3,1.1
NY,Schuyler (County),,1,,,100,
NY,Seneca (County),,5,,,100,
NY,St. Lawrence (County),,35,,,100,
NY,Steuben (County),,29,,,100,
NY,Suffolk (County),3761,28884,160,11.5,88,0.5
NY,Sullivan (County),86,868,12,8.9,89.9,1.2
NY,Tioga (County),1049,2166,16,32.5,67,0.5
NY,Tompkins (County),,11,,,100,
NY,Ulster (County),733,3325,49,17.8,81,1.2
NY,Warren (County),20,150,,11.8,88.2,
NY,Washington (County),45,180,2,19.8,79.3,0.9
NY,Wayne (County),,13,,,100,
NY,Westchester (County),464,8807,27,5,94.7,0.3
NY,Wyoming (County),,10,,,100,
NY,Yates (County),,5,,,100,
OH,Adams (County),,8,,,100,
OH,Allen (County),,103,,,100,
OH,Ashland (County),,20,,,100,
OH,Ashtabula (County),,43,,,100,
OH,Athens (County),,12,,,100,
OH,Auglaize (County),2,35,1,5.3,92.1,2.6
OH,Belmont (County),,19,,,100,
OH,Brown (County),,5,,,100,
OH,Butler (County),,174,,,100,
OH,Carroll (County),,6,,,100,
OH,Champaign (County),,2,,,100,
OH,Clark (County),,92,,,100,
OH,Clermont (County),,43,,,100,
OH,Clinton (County),,12,,,100,
OH,Columbiana (County),,66,,,100,
OH,Coshocton (County),,8,,,100,
OH,Crawford (County),,22,,,100,
OH,Cuyahoga (County),,958,,,100,
OH,Darke (County),,31,,,100,
OH,Defiance (County),,25,,,100,
OH,Delaware (County),,24,,,100,
OH,Erie (County),,59,,,100,
OH,Fairfield (County),,56,,,100,
OH,Fayette (County),,5,,,100,
OH,Franklin (County),,651,,,100,
OH,Fulton (County),,10,,,100,
OH,Gallia (County),,23,,,100,
OH,Geauga (County),,52,,,100,
OH,Greene (County),41,618,4,6.2,93.2,0.6
OH,Guernsey (County),,13,,,100,
OH,Hamilton (County),,604,,,100,
OH,Hancock (County),,42,,,100,
OH,Hardin (County),,6,,,100,
OH,Henry (County),,13,,,100,
OH,Highland (County),,6,,,100,
OH,Hocking (County),3,34,1,7.9,89.5,2.6
OH,Holmes (County),,9,,,100,
OH,Huron (County),,26,,,100,
OH,Jackson (County),,5,,,100,
OH,Jefferson (County),,46,,,100,
OH,Knox (County),,18,,,100,
OH,Lake (County),,80,,,100,
OH,Lawrence (County),,8,,,100,
OH,Licking (County),,57,,,100,
OH,Logan (County),,10,,,100,
OH,Lorain (County),,148,,,100,
OH,Lucas (County),,424,,,100,
OH,Madison (County),,5,,,100,
OH,Mahoning (County),99,1105,30,8,89.5,2.4
OH,Marion (County),,56,,,100,
OH,Medina (County),,54,,,100,
OH,Meigs (County),,3,,,100,
OH,Mercer (County),6,110,1,5.1,94,0.9
OH,Miami (County),4,149,,2.6,97.4,
OH,Monroe (County),,4,,,100,
OH,Montgomery (County),920,4054,70,18.2,80.4,1.4
OH,Morgan (County),,7,,,100,
OH,Morrow (County),,1,,,100,
OH,Muskingum (County),4,102,4,3.6,92.7,3.6
OH,Noble (County),,6,,,100,
OH,Ottawa (County),,9,,,100,
OH,Paulding (County),,4,,,100,
OH,Perry (County),,26,,,100,
OH,Pickaway (County),2,49,3,3.7,90.7,5.6
OH,Pike (County),,2,,,100,
OH,Portage (County),,63,,,100,
OH,Preble (County),,11,,,100,
OH,Putnam (County),,13,,,100,
OH,Richland (County),,62,,,100,
OH,Ross (County),,58,,,100,
OH,Sandusky (County),,31,,,100,
OH,Scioto (County),,33,,,100,
OH,Seneca (County),,13,,,100,
OH,Shelby (County),,13,,,100,
OH,Stark (County),,277,,,100,
OH,Summit (County),,325,,,100,
OH,Trumbull (County),,139,,,100,
OH,Tuscarawas (County),,42,,,100,
OH,Union (County),,14,,,100,
OH,Van Wert (County),,10,,,100,
OH,Vinton (County),,1,,,100,
OH,Warren (County),,56,,,100,
OH,Washington (County),,54,,,100,
OH,Wayne (County),,45,,,100,
OH,Williams (County),,16,,,100,
OH,Wood (County),,34,,,100,
OH,Wyandot (County),,2,,,100,
OK,Adair (County),6,50,3,10.2,84.7,5.1
OK,Alfalfa (County),5,29,3,13.5,78.4,8.1
OK,Atoka (County),149,640,27,18.3,78.4,3.3
OK,Beaver (County),,2,,,100,
OK,Beckham (County),25,159,7,13.1,83.2,3.7
OK,Blaine (County),,7,,,100,
OK,Bryan (County),49,285,27,13.6,78.9,7.5
OK,Caddo (County),16,88,15,13.4,73.9,12.6
OK,Canadian (County),216,1676,70,11,85.4,3.6
OK,Carter (County),161,525,44,22.1,71.9,6
OK,Cherokee (County),14,187,24,6.2,83.1,10.7
OK,Choctaw (County),9,66,3,11.5,84.6,3.8
OK,Cleveland (County),1662,10002,157,14.1,84.6,1.3
OK,Coal (County),1,23,3,3.7,85.2,11.1
OK,Comanche (County),193,658,29,21.9,74.8,3.3
OK,Cotton (County),16,67,4,18.4,77,4.6
OK,Craig (County),7,56,13,9.2,73.7,17.1
OK,Creek (County),251,711,46,24.9,70.5,4.6
OK,Custer (County),,14,,,100,
OK,Delaware (County),62,288,17,16.9,78.5,4.6
OK,Dewey (County),,2,,,100,
OK,Ellis (County),,2,,,100,
OK,Garfield (County),6,117,7,4.6,90,5.4
OK,Garvin (County),5,63,5,6.8,86.3,6.8
OK,Grady (County),175,629,20,21.2,76.3,2.4
OK,Greer (County),,2,,,100,
OK,Harper (County),,1,,,100,
OK,Hughes (County),7,114,11,5.3,86.4,8.3
OK,Jackson (County),,19,,,100,
OK,Jefferson (County),13,57,6,17.1,75,7.9
OK,Johnston (County),41,117,7,24.8,70.9,4.2
OK,Kay (County),30,246,15,10.3,84.5,5.2
OK,Kingfisher (County),20,98,8,15.9,77.8,6.3
OK,Kiowa (County),20,109,11,14.3,77.9,7.9
OK,Latimer (County),2,26,8,5.6,72.2,22.2
OK,Le Flore (County),55,288,34,14.6,76.4,9
OK,Lincoln (County),33,181,8,14.9,81.5,3.6
OK,Logan (County),43,201,2,17.5,81.7,0.8
OK,Love (County),13,85,2,13,85,2
OK,Major (County),,8,,,100,
OK,Marshall (County),42,157,15,19.6,73.4,7
OK,Mayes (County),45,145,22,21.2,68.4,10.4
OK,McClain (County),84,530,9,13.5,85.1,1.4
OK,McCurtain (County),16,172,9,8.1,87.3,4.6
OK,McIntosh (County),28,220,20,10.4,82.1,7.5
OK,Murray (County),14,57,2,19.2,78.1,2.7
OK,Muskogee (County),243,417,55,34,58.3,7.7
OK,Noble (County),4,41,1,8.7,89.1,2.2
OK,Nowata (County),16,72,13,15.8,71.3,12.9
OK,Okfuskee (County),43,230,17,14.8,79.3,5.9
OK,Oklahoma (County),1550,8840,280,14.5,82.8,2.6
OK,Okmulgee (County),85,399,45,16.1,75.4,8.5
OK,Osage (County),84,257,34,22.4,68.5,9.1
OK,Ottawa (County),45,168,18,19.5,72.7,7.8
OK,Pawnee (County),14,49,1,21.9,76.6,1.6
OK,Payne (County),19,155,7,10.5,85.6,3.9
OK,Pittsburg (County),36,413,36,7.4,85.2,7.4
OK,Pontotoc (County),18,193,4,8.4,89.8,1.9
OK,Pottawatomie (County),269,1348,60,16,80.4,3.6
OK,Pushmataha (County),9,67,17,9.7,72,18.3
OK,Roger Mills (County),,2,,,100,
OK,Rogers (County),56,217,12,19.6,76.1,4.2
OK,Seminole (County),75,453,24,13.6,82.1,4.3
OK,Sequoyah (County),52,75,13,37.1,53.6,9.3
OK,Stephens (County),26,198,26,10.4,79.2,10.4
OK,Texas (County),,15,,,100,
OK,Tillman (County),4,46,4,7.4,85.2,7.4
OK,Tulsa (County),565,2930,142,15.5,80.6,3.9
OK,Wagoner (County),89,374,30,18.1,75.9,6.1
OK,Washington (County),27,137,9,15.6,79.2,5.2
OK,Washita (County),,3,,,100,
OK,Woods (County),4,45,,8.2,91.8,
OK,Woodward (County),,23,,,100,
OR,Baker (County),,1,,,100,
OR,Benton (County),,4,,,100,
OR,Clackamas (County),80,2101,172,3.4,89.3,7.3
OR,Columbia (County),,2,,,100,
OR,Coos (County),,8,,,100,
OR,Crook (County),,1,,,100,
OR,Curry (County),,1,,,100,
OR,Deschutes (County),,20,,,100,
OR,Douglas (County),59,11179,239,0.5,97.4,2.1
OR,Harney (County),,1,,,100,
OR,Hood River (County),,1,,,100,
OR,Jackson (County),1168,3251,178,25.4,70.7,3.9
OR,Jefferson (County),,3,,,100,
OR,Josephine (County),,12,,,100,
OR,Klamath (County),8,237,24,3,88.1,8.9
OR,Lake (County),,4,,,100,
OR,Lane (County),192,1482,107,10.8,83.2,6
OR,Lincoln (County),136,625,42,16.9,77.8,5.2
OR,Linn (County),61,652,51,8,85.3,6.7
OR,Malheur (County),,6,,,100,
OR,Marion (County),207,1800,104,9.8,85.3,4.9
OR,Multnomah (County),,132,,,100,
OR,Polk (County),,1,,,100,
OR,Tillamook (County),,1,,,100,
OR,Umatilla (County),141,161,6,45.8,52.3,1.9
OR,Union (County),,3,,,100,
OR,Wallowa (County),,1,,,100,
OR,Wasco (County),,1,,,100,
OR,Washington (County),,61,,,100,
OR,Yamhill (County),,6,,,100,
PA,Adams (County),19,198,1,8.7,90.8,0.5
PA,Allegheny (County),,1058,,,100,
PA,Armstrong (County),,29,,,100,
PA,Beaver (County),,109,,,100,
PA,Bedford (County),,17,,,100,
PA,Berks (County),59,778,5,7,92.4,0.6
PA,Blair (County),,120,,,100,
PA,Bradford (County),312,1466,9,17.5,82,0.5
PA,Bucks (County),285,2193,12,11.4,88.1,0.5
PA,Butler (County),,156,,,100,
PA,Cambria (County),,138,,,100,
PA,Cameron (County),,2,,,100,
PA,Carbon (County),,38,,,100,
PA,Centre (County),,59,,,100,
PA,Chester (County),45,862,2,5,94.8,0.2
PA,Clarion (County),,17,,,100,
PA,Clearfield (County),,40,,,100,
PA,Clinton (County),,7,,,100,
PA,Columbia (County),376,2067,25,15.2,83.8,1
PA,Crawford (County),,37,,,100,
PA,Cumberland (County),78,616,,11.2,88.8,
PA,Dauphin (County),1291,5227,70,19.6,79.3,1.1
PA,Delaware (County),413,4763,28,7.9,91.5,0.5
PA,Elk (County),,14,,,100,
PA,Erie (County),,138,,,100,
PA,Fayette (County),,112,,,100,
PA,Forest (County),,4,,,100,
PA,Franklin (County),,101,,,100,
PA,Fulton (County),,2,,,100,
PA,Greene (County),,7,,,100,
PA,Huntingdon (County),11,87,2,11,87,2
PA,Indiana (County),,52,,,100,
PA,Jefferson (County),,25,,,100,
PA,Juniata (County),,19,,,100,
PA,Lackawanna (County),,197,,,100,
PA,Lancaster (County),531,2967,19,15.1,84.4,0.5
PA,Lawrence (County),,70,,,100,
PA,Lebanon (County),405,3795,16,9.6,90,0.4
PA,Lehigh (County),25,662,2,3.6,96.1,0.3
PA,Luzerne (County),542,3032,38,15,83.9,1.1
PA,Lycoming (County),196,1513,9,11.4,88.1,0.5
PA,McKean (County),,6,,,100,
PA,Mercer (County),,73,,,100,
PA,Mifflin (County),,48,,,100,
PA,Monroe (County),45,542,1,7.7,92.2,0.2
PA,Montgomery (County),436,3502,15,11,88.6,0.4
PA,Montour (County),30,277,2,9.7,89.6,0.6
PA,Northampton (County),52,585,6,8.1,91,0.9
PA,Northumberland (County),293,1565,25,15.6,83.1,1.3
PA,Perry (County),35,186,1,15.8,83.8,0.5
PA,Philadelphia (County),4305,42954,1066,8.9,88.9,2.2
PA,Pike (County),,10,,,100,
PA,Potter (County),,4,,,100,
PA,Schuylkill (County),102,786,8,11.4,87.7,0.9
PA,Snyder (County),55,193,2,22,77.2,0.8
PA,Somerset (County),,59,,,100,
PA,Sullivan (County),46,335,3,12,87.2,0.8
PA,Susquehanna (County),50,324,4,13.2,85.7,1.1
PA,Tioga (County),,20,,,100,
PA,Union (County),40,182,2,17.9,81.2,0.9
PA,Venango (County),,24,,,100,
PA,Warren (County),,9,,,100,
PA,Washington (County),,122,,,100,
PA,Wayne (County),,30,,,100,
PA,Westmoreland (County),,245,,,100,
PA,Wyoming (County),202,825,20,19.3,78.8,1.9
PA,York (County),430,3902,27,9.9,89.5,0.6
RI,Bristol (County),173,1404,2,11,88.9,0.1
RI,Kent (County),1711,7475,13,18.6,81.3,0.1
RI,"Newport (County)(in PMSA 2480,6480)",149,1040,2,12.5,87.3,0.2
RI,"Providence (County)(in PMSA 6060,6480)",1391,8468,15,14.1,85.8,0.2
RI,"Washington (County)(in (P)MSA 5520,6480)",922,4577,14,16.7,83,0.3
SC,Abbeville (County),,15,,,100,
SC,Aiken (County),9,248,9,3.4,93.2,3.4
SC,Allendale (County),20,223,13,7.8,87.1,5.1
SC,Anderson (County),,201,,,100,
SC,Bamberg (County),46,640,74,6.1,84.2,9.7
SC,Barnwell (County),35,192,14,14.5,79.7,5.8
SC,Beaufort (County),563,6558,253,7.6,88.9,3.4
SC,Berkeley (County),773,6563,519,9.8,83.6,6.6
SC,Calhoun (County),95,819,72,9.6,83.1,7.3
SC,Charleston (County),1259,11137,730,9.6,84.8,5.6
SC,Cherokee (County),,20,,,100,
SC,Chester (County),,14,,,100,
SC,Chesterfield (County),99,1459,106,5.9,87.7,6.4
SC,Clarendon (County),557,3706,351,12.1,80.3,7.6
SC,Colleton (County),610,2883,321,16,75.6,8.4
SC,Darlington (County),513,4369,410,9.7,82.6,7.7
SC,Dillon (County),640,3981,354,12.9,80,7.1
SC,Dorchester (County),665,4817,248,11.6,84.1,4.3
SC,Edgefield (County),,16,,,100,
SC,Fairfield (County),46,511,53,7.5,83.8,8.7
SC,Florence (County),1274,10607,737,10.1,84.1,5.8
SC,Georgetown (County),901,5323,526,13.3,78.9,7.8
SC,Greenville (County),31,645,9,4.5,94.2,1.3
SC,Greenwood (County),54,498,11,9.6,88.5,2
SC,Hampton (County),93,729,75,10.4,81.3,8.4
SC,Horry (County),2972,15471,1026,15.3,79.5,5.3
SC,Jasper (County),72,1001,37,6.5,90.2,3.3
SC,Kershaw (County),204,1520,89,11.3,83.8,4.9
SC,Lancaster (County),,59,,,100,
SC,Laurens (County),,54,,,100,
SC,Lee (County),272,1943,146,11.5,82.3,6.2
SC,Lexington (County),700,4546,114,13.1,84.8,2.1
SC,Marion (County),1236,5602,431,17,77.1,5.9
SC,Marlboro (County),269,1917,182,11.4,81,7.7
SC,McCormick (County),,3,,,100,
SC,Newberry (County),35,654,29,4.9,91.1,4
SC,Oconee (County),115,672,41,13.9,81.2,5
SC,Orangeburg (County),980,7302,863,10.7,79.8,9.4
SC,Pickens (County),24,233,15,8.8,85.7,5.5
SC,Richland (County),2507,18115,394,11.9,86.2,1.9
SC,Saluda (County),,4,,,100,
SC,Spartanburg (County),27,595,10,4.3,94.1,1.6
SC,Sumter (County),1526,8767,470,14.2,81.5,4.4
SC,Union (County),,7,,,100,
SC,Williamsburg (County),1284,6282,566,15.8,77.3,7
SC,York (County),,93,,,100,
SD,Aurora (County),7,37,3,14.9,78.7,6.4
SD,Beadle (County),,8,,,100,
SD,Bennett (County),3,54,1,5.2,93.1,1.7
SD,Bon Homme (County),13,51,2,19.7,77.3,3
SD,Brookings (County),18,206,1,8,91.6,0.4
SD,Brown (County),,30,,,100,
SD,Brule (County),,1,,,100,
SD,Butte (County),,3,,,100,
SD,Charles Mix (County),68,315,33,16.3,75.7,7.9
SD,Codington (County),,17,,,100,
SD,Custer (County),,2,,,100,
SD,Davison (County),72,367,9,16.1,81.9,2
SD,Day (County),,10,,,100,
SD,Deuel (County),,1,,,100,
SD,Dewey (County),2,52,2,3.6,92.9,3.6
SD,Douglas (County),,5,,,100,
SD,Edmunds (County),,1,,,100,
SD,Faulk (County),,3,,,100,
SD,Grant (County),,14,,,100,
SD,Gregory (County),,9,,,100,
SD,Haakon (County),,2,,,100,
SD,Hamlin (County),,10,,,100,
SD,Hand (County),,1,,,100,
SD,Hanson (County),31,129,1,19.3,80.1,0.6
SD,Hughes (County),150,187,6,43.7,54.5,1.7
SD,Hutchinson (County),10,91,2,9.7,88.3,1.9
SD,Jackson (County),4,34,3,9.8,82.9,7.3
SD,Jerauld (County),,3,,,100,
SD,Kingsbury (County),,1,,,100,
SD,Lake (County),75,402,4,15.6,83.6,0.8
SD,Lawrence (County),,3,,,100,
SD,Lincoln (County),,71,,,100,
SD,Lyman (County),,1,,,100,
SD,McCook (County),30,56,7,32.3,60.2,7.5
SD,McPherson (County),,1,,,100,
SD,Meade (County),,7,,,100,
SD,Mellette (County),2,35,1,5.3,92.1,2.6
SD,Miner (County),,1,,,100,
SD,Minnehaha (County),69,611,4,10.1,89.3,0.6
SD,Moody (County),20,63,3,23.3,73.3,3.5
SD,Oglala Lakota (County),60,529,51,9.4,82.7,8
SD,Oglala Sioux Tribe of the Pine Ridge Reservation,198,1624,21,10.7,88.1,1.1
SD,Pennington (County),,29,,,100,
SD,Potter (County),,2,,,100,
SD,Roberts (County),,7,,,100,
SD,Spink (County),,9,,,100,
SD,Stanley (County),195,179,1,52,47.7,0.3
SD,Todd (County),12,247,,4.6,95.4,
SD,Tripp (County),,1,,,100,
SD,Turner (County),6,67,3,7.9,88.2,3.9
SD,Union (County),473,439,6,51.5,47.8,0.7
SD,Walworth (County),,4,,,100,
SD,Yankton (County),78,297,10,20.3,77.1,2.6
SD,Ziebach (County),3,38,2,7,88.4,4.7
TN,Anderson (County),,56,,,100,
TN,Bedford (County),,14,,,100,
TN,Benton (County),39,159,3,19.4,79.1,1.5
TN,Bledsoe (County),22,89,2,19.5,78.8,1.8
TN,Blount (County),,56,,,100,
TN,Bradley (County),224,1686,32,11.5,86.8,1.6
TN,Campbell (County),,14,,,100,
TN,Cannon (County),7,38,3,14.6,79.2,6.2
TN,Carroll (County),27,219,8,10.6,86.2,3.1
TN,Carter (County),,24,,,100,
TN,Cheatham (County),458,810,5,36,63.6,0.4
TN,Chester (County),11,46,1,19,79.3,1.7
TN,Claiborne (County),7,74,2,8.4,89.2,2.4
TN,Clay (County),26,93,,21.8,78.2,
TN,Cocke (County),42,367,13,10,87,3.1
TN,Coffee (County),,25,,,100,
TN,Crockett (County),39,119,9,23.4,71.3,5.4
TN,Cumberland (County),2,76,,2.6,97.4,
TN,Davidson (County),7323,21597,153,25.2,74.3,0.5
TN,Decatur (County),12,94,1,11.2,87.9,0.9
TN,DeKalb (County),17,94,3,14.9,82.5,2.6
TN,Dickson (County),90,460,9,16.1,82.3,1.6
TN,Dyer (County),360,568,11,38.3,60.5,1.2
TN,Fayette (County),47,432,11,9.6,88.2,2.2
TN,Fentress (County),,2,,,100,
TN,Franklin (County),,40,,,100,
TN,Gibson (County),254,1116,23,18.2,80.1,1.7
TN,Giles (County),8,67,,10.7,89.3,
TN,Grainger (County),,6,,,100,
TN,Greene (County),108,537,11,16.5,81.9,1.7
TN,Grundy (County),,3,,,100,
TN,Hamblen (County),,44,,,100,
TN,Hamilton (County),436,3897,73,9.9,88.4,1.7
TN,Hardeman (County),35,133,5,20.2,76.9,2.9
TN,Hardin (County),36,180,7,16.1,80.7,3.1
TN,Hawkins (County),,12,,,100,
TN,Haywood (County),224,658,7,25.2,74,0.8
TN,Henderson (County),41,220,5,15.4,82.7,1.9
TN,Henry (County),9,77,3,10.1,86.5,3.4
TN,Hickman (County),326,1060,23,23.1,75.2,1.6
TN,Houston (County),56,235,7,18.8,78.9,2.3
TN,Humphreys (County),208,689,15,22.8,75.5,1.6
TN,Jackson (County),31,236,3,11.5,87.4,1.1
TN,Jefferson (County),,20,,,100,
TN,Johnson (County),22,137,5,13.4,83.5,3
TN,Knox (County),158,2478,37,5.9,92.7,1.4
TN,Lake (County),50,128,8,26.9,68.8,4.3
TN,Lauderdale (County),88,222,13,27.2,68.7,4
TN,Lawrence (County),35,100,2,25.5,73,1.5
TN,Lewis (County),28,151,6,15.1,81.6,3.2
TN,Lincoln (County),3,83,2,3.4,94.3,2.3
TN,Loudon (County),,10,,,100,
TN,Macon (County),55,187,6,22.2,75.4,2.4
TN,Madison (County),297,1920,26,13.2,85.6,1.2
TN,Marion (County),,2,,,100,
TN,Marshall (County),6,46,1,11.3,86.8,1.9
TN,Maury (County),117,688,5,14.4,84.9,0.6
TN,McMinn (County),22,211,7,9.2,87.9,2.9
TN,McNairy (County),91,399,6,18.3,80.4,1.2
TN,Meigs (County),,2,,,100,
TN,Monroe (County),41,387,19,9.2,86.6,4.3
TN,Montgomery (County),212,1261,5,14.3,85.3,0.3
TN,Moore (County),,1,,,100,
TN,Morgan (County),,8,,,100,
TN,Obion (County),20,106,5,15.3,80.9,3.8
TN,Overton (County),8,51,,13.6,86.4,
TN,Perry (County),143,452,14,23.5,74.2,2.3
TN,Pickett (County),,2,,,100,
TN,Polk (County),1,16,1,5.6,88.9,5.6
TN,Putnam (County),102,708,7,12.5,86.7,0.9
TN,Rhea (County),17,55,1,23.3,75.3,1.4
TN,Roane (County),,28,,,100,
TN,Robertson (County),61,255,1,19.2,80.4,0.3
TN,Rutherford (County),320,1192,5,21.1,78.6,0.3
TN,Scott (County),,5,,,100,
TN,Sequatchie (County),,1,,,100,
TN,Sevier (County),364,1055,10,25.5,73.8,0.7
TN,Shelby (County),2478,20919,250,10.5,88.5,1.1
TN,Smith (County),127,293,3,30,69.3,0.7
TN,Stewart (County),35,158,7,17.5,79,3.5
TN,Sullivan (County),,175,,,100,
TN,Sumner (County),545,1819,9,23,76.7,0.4
TN,Tipton (County),190,953,16,16.4,82.2,1.4
TN,Trousdale (County),26,109,1,19.1,80.1,0.7
TN,Unicoi (County),,3,,,100,
TN,Union (County),,5,,,100,
TN,Van Buren (County),,1,,,100,
TN,Warren (County),,30,,,100,
TN,Washington (County),30,319,7,8.4,89.6,2
TN,Wayne (County),65,215,5,22.8,75.4,1.8
TN,Weakley (County),,7,,,100,
TN,White (County),,4,,,100,
TN,Williamson (County),686,2338,11,22.6,77,0.4
TN,Wilson (County),279,1761,29,13.5,85.1,1.4
TX,Anderson (County),158,747,113,15.5,73.4,11.1
TX,Andrews (County),,8,,,100,
TX,Angelina (County),201,2103,165,8.1,85.2,6.7
TX,Aransas (County),1997,11539,361,14.4,83,2.6
TX,Archer (County),,2,,,100,
TX,Atascosa (County),48,294,58,12,73.5,14.5
TX,Austin (County),326,1490,83,17.2,78.5,4.4
TX,Bailey (County),,3,,,100,
TX,Bandera (County),18,160,13,9.4,83.8,6.8
TX,Bastrop (County),711,5044,203,11.9,84.7,3.4
TX,Baylor (County),,2,,,100,
TX,Bee (County),171,2594,189,5.8,87.8,6.4
TX,Bell (County),346,6050,139,5.3,92.6,2.1
TX,Bexar (County),1883,18006,733,9.1,87.3,3.6
TX,Blanco (County),60,205,17,21.3,72.7,6
TX,Borden (County),,1,,,100,
TX,Bosque (County),19,102,16,13.9,74.5,11.7
TX,Bowie (County),250,1193,86,16.4,78,5.6
TX,Brazoria (County),5538,43058,1007,11.2,86.8,2
TX,Brazos (County),264,2036,80,11.1,85.5,3.4
TX,Brewster (County),,2,,,100,
TX,Briscoe (County),,1,,,100,
TX,Brooks (County),44,92,43,24.6,51.4,24
TX,Brown (County),53,305,47,13.1,75.3,11.6
TX,Burleson (County),84,390,100,14.6,67.9,17.4
TX,Burnet (County),29,228,20,10.5,82.3,7.2
TX,Caldwell (County),230,758,65,21.8,72,6.2
TX,Calhoun (County),462,6109,212,6.8,90.1,3.1
TX,Callahan (County),,6,,,100,
TX,Cameron (County),1232,6411,591,15,77.9,7.2
TX,Camp (County),,1,,,100,
TX,Carson (County),,2,,,100,
TX,Cass (County),4,59,4,6,88.1,6
TX,Castro (County),,2,,,100,
TX,Chambers (County),1712,5850,264,21.9,74.8,3.4
TX,Cherokee (County),139,755,104,13.9,75.7,10.4
TX,Childress (County),,4,,,100,
TX,Clay (County),,3,,,100,
TX,Cochran (County),,2,,,100,
TX,Coke (County),,1,,,100,
TX,Coleman (County),,7,,,100,
TX,Collin (County),618,9273,121,6.2,92.6,1.2
TX,Collingsworth (County),,3,,,100,
TX,Colorado (County),153,1240,76,10.4,84.4,5.2
TX,Comal (County),106,1221,42,7.7,89.2,3.1
TX,Comanche (County),25,176,26,11,77.5,11.5
TX,Concho (County),,1,,,100,
TX,Cooke (County),52,452,25,9.8,85.4,4.7
