state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
FL,St. Johns (County),2742,14676,158,15.6,83.5,0.9
FL,St. Lucie (County),2961,29901,214,9,90.4,0.6
FL,Statewide,,7,,,100,
FL,Sumter (County),1020,6022,110,14.3,84.2,1.5
FL,Suwannee (County),1592,5662,184,21.4,76.1,2.5
FL,Tampa Reservation,,506,,,100,
FL,Taylor (County),111,427,56,18.7,71.9,9.4
FL,Union (County),198,1182,41,13.9,83.2,2.9
FL,Volusia (County),10442,68607,792,13.1,85.9,1
FL,Wakulla (County),353,1732,70,16.4,80.4,3.2
FL,Walton (County),170,966,130,13.4,76.3,10.3
FL,Washington (County),328,2758,94,10.3,86.7,3
GA,Appling (County),,16,,,100,
GA,Atkinson (County),,1,,,100,
GA,Bacon (County),,16,,,100,
GA,Baker (County),49,579,26,7.5,88.5,4
GA,Baldwin (County),,45,,,100,
GA,Banks (County),,5,,,100,
GA,Barrow (County),,10,,,100,
GA,Bartow (County),38,308,2,10.9,88.5,0.6
GA,Ben Hill (County),,20,,,100,
GA,Berrien (County),3,38,6,6.4,80.9,12.8
GA,Bibb (County),,287,,,100,
GA,Bleckley (County),,2,,,100,
GA,Brantley (County),,6,,,100,
GA,Brooks (County),,5,,,100,
GA,Bryan (County),51,855,25,5.5,91.8,2.7
GA,Bulloch (County),40,619,28,5.8,90.1,4.1
GA,Burke (County),,5,,,100,
GA,Butts (County),,11,,,100,
GA,Calhoun (County),39,521,45,6.4,86.1,7.4
GA,Camden (County),703,4097,61,14.5,84.3,1.3
GA,Candler (County),,17,,,100,
GA,Carroll (County),,94,,,100,
GA,Catoosa (County),172,831,8,17,82.2,0.8
GA,Charlton (County),80,614,42,10.9,83.4,5.7
GA,Chatham (County),2433,33141,290,6.8,92.4,0.8
GA,Chattahoochee (County),,1,,,100,
GA,Chattooga (County),,3,,,100,
GA,Cherokee (County),,83,,,100,
GA,Clarke (County),,161,,,100,
GA,Clay (County),41,246,31,12.9,77.4,9.7
GA,Clayton (County),,104,,,100,
GA,Clinch (County),,2,,,100,
GA,Cobb (County),,337,,,100,
GA,Coffee (County),64,619,57,8.6,83.6,7.7
GA,Colquitt (County),,31,,,100,
GA,Columbia (County),,23,,,100,
GA,Cook (County),28,77,4,25.7,70.6,3.7
GA,Coweta (County),2,97,1,2,97,1
GA,Crisp (County),112,1734,92,5.8,89.5,4.7
GA,Dade (County),143,709,6,16.7,82.6,0.7
GA,Decatur (County),331,3945,161,7.5,88.9,3.6
GA,DeKalb (County),,342,,,100,
GA,Dodge (County),,33,,,100,
GA,Dooly (County),,7,,,100,
GA,Dougherty (County),754,13319,285,5.3,92.8,2
GA,Douglas (County),,53,,,100,
GA,Early (County),140,1714,119,7.1,86.9,6
GA,Echols (County),,2,,,100,
GA,Effingham (County),58,1016,26,5.3,92.4,2.4
GA,Elbert (County),,11,,,100,
GA,Emanuel (County),,20,,,100,
GA,Evans (County),18,242,8,6.7,90.3,3
GA,Fannin (County),,14,,,100,
GA,Fayette (County),,103,,,100,
GA,Floyd (County),56,1002,6,5.3,94.2,0.6
GA,Forsyth (County),,76,,,100,
GA,Franklin (County),,7,,,100,
GA,Fulton (County),,635,,,100,
GA,Gilmer (County),,7,,,100,
GA,Glascock (County),,3,,,100,
GA,Glynn (County),2043,11247,217,15.1,83.3,1.6
GA,Gordon (County),3,58,1,4.8,93.5,1.6
GA,Grady (County),52,1619,47,3,94.2,2.7
GA,Greene (County),2,15,,11.8,88.2,
GA,Gwinnett (County),,331,,,100,
GA,Habersham (County),,24,,,100,
GA,Hall (County),,252,,,100,
GA,Hancock (County),,5,,,100,
GA,Haralson (County),,3,,,100,
GA,Harris (County),1,14,,6.7,93.3,
GA,Hart (County),,7,,,100,
GA,Heard (County),2,10,,16.7,83.3,
GA,Henry (County),,154,,,100,
GA,Houston (County),,97,,,100,
GA,Irwin (County),,5,,,100,
GA,Jackson (County),,28,,,100,
GA,Jasper (County),,6,,,100,
GA,Jeff Davis (County),,13,,,100,
GA,Jefferson (County),,14,,,100,
GA,Jenkins (County),,6,,,100,
GA,Johnson (County),,5,,,100,
GA,Jones (County),,1,,,100,
GA,Lamar (County),23,131,4,14.6,82.9,2.5
GA,Laurens (County),19,469,19,3.7,92.5,3.7
GA,Lee (County),88,1712,40,4.8,93,2.2
GA,Liberty (County),211,3202,43,6.1,92.7,1.2
GA,Lincoln (County),,3,,,100,
GA,Long (County),13,318,10,3.8,93.3,2.9
GA,Lowndes (County),,116,,,100,
GA,Lumpkin (County),,19,,,100,
GA,Macon (County),,8,,,100,
GA,Madison (County),,7,,,100,
GA,Marion (County),,4,,,100,
GA,McDuffie (County),,7,,,100,
GA,McIntosh (County),263,1810,102,12.1,83.2,4.7
GA,Meriwether (County),22,116,2,15.7,82.9,1.4
GA,Miller (County),124,1278,53,8.5,87.8,3.6
GA,Mitchell (County),144,2483,106,5.3,90.9,3.9
GA,Monroe (County),13,85,2,13,85,2
GA,Montgomery (County),,4,,,100,
GA,Morgan (County),15,152,4,8.8,88.9,2.3
GA,Murray (County),,6,,,100,
GA,Muscogee (County),,298,,,100,
GA,Newton (County),1,80,,1.2,98.8,
GA,Oconee (County),,11,,,100,
GA,Oglethorpe (County),,1,,,100,
GA,Paulding (County),,46,,,100,
GA,Peach (County),,12,,,100,
GA,Pickens (County),14,87,,13.9,86.1,
GA,Pierce (County),,7,,,100,
GA,Pike (County),,7,,,100,
GA,Polk (County),8,158,2,4.8,94,1.2
GA,Pulaski (County),,19,,,100,
GA,Putnam (County),,10,,,100,
GA,Rabun (County),15,212,3,6.5,92.2,1.3
GA,Randolph (County),101,602,76,13,77.3,9.8
GA,Richmond (County),,425,,,100,
GA,Rockdale (County),,65,,,100,
GA,Screven (County),,5,,,100,
GA,Seminole (County),257,2035,81,10.8,85.8,3.4
GA,Spalding (County),71,410,5,14.6,84.4,1
GA,Statewide,,1,,,100,
GA,Stephens (County),,4,,,100,
GA,Stewart (County),,2,,,100,
GA,Sumter (County),22,626,41,3.2,90.9,6
GA,Tattnall (County),,14,,,100,
GA,Taylor (County),,2,,,100,
GA,Telfair (County),,2,,,100,
GA,Terrell (County),55,1046,34,4.8,92.2,3
GA,Thomas (County),39,1245,52,2.9,93.2,3.9
GA,Tift (County),36,891,46,3.7,91.6,4.7
GA,Toombs (County),,34,,,100,
GA,Towns (County),,3,,,100,
GA,Treutlen (County),,3,,,100,
