GEOID,majority
30109,White
30111,White
31001,White
31003,White
31005,White
31007,White
31009,White
31011,White
31013,White
31015,White
31017,White
31019,White
31021,White
31023,White
31025,White
31027,White
31029,White
31031,White
31033,White
31035,White
31037,Non-White
31039,White
31041,White
31043,Non-White
31045,White
31047,White
31049,White
31051,White
31053,White
31055,White
31057,White
31059,White
31061,White
31063,White
31065,White
31067,White
31069,White
31071,White
31073,White
31075,White
31077,White
31079,White
31081,White
31083,White
31085,White
31087,White
31089,White
31091,White
31093,White
31095,White
31097,White
31099,White
31101,White
31103,White
31105,White
31107,White
31109,White
31111,White
31113,White
31115,White
31117,White
31119,White
31121,White
31123,White
31125,White
31127,White
31129,White
31131,White
31133,White
31135,White
31137,White
31139,White
31141,White
31143,White
31145,White
31147,White
31149,White
31151,White
31153,White
31155,White
31157,White
31159,White
31161,White
31163,White
31165,White
31167,White
31169,White
31171,White
31173,Non-White
31175,White
31177,White
31179,White
31181,White
31183,White
31185,White
32001,White
32003,Non-White
32005,White
32007,White
32009,White
32011,White
32013,White
32015,White
32017,White
32019,White
32021,White
32023,White
32027,White
32029,White
32031,White
32033,White
32510,White
33001,White
33003,White
33005,White
33007,White
33009,White
33011,White
33013,White
33015,White
33017,White
33019,White
34001,White
34003,White
34005,White
34007,White
34009,White
34011,Non-White
34013,Non-White
34015,White
34017,Non-White
34019,White
34021,Non-White
34023,Non-White
34025,White
34027,White
34029,White
34031,Non-White
34033,White
34035,White
34037,White
34039,Non-White
34041,White
35001,Non-White
35003,White
35005,Non-White
35006,Non-White
35007,Non-White
35009,Non-White
35011,Non-White
35013,Non-White
35015,Non-White
35017,Non-White
35019,Non-White
35021,White
35023,Non-White
35025,Non-White
35027,White
35028,White
35029,Non-White
35031,Non-White
35033,Non-White
35035,Non-White
35037,Non-White
35039,Non-White
35041,White
35043,Non-White
35045,Non-White
35047,Non-White
35049,Non-White
35051,White
35053,Non-White
35055,Non-White
35057,White
35059,White
35061,Non-White
36001,White
36003,White
36005,Non-White
36007,White
36009,White
36011,White
36013,White
36015,White
36017,White
36019,White
36021,White
36023,White
36025,White
36027,White
36029,White
36031,White
36033,White
36035,White
36037,White
36039,White
36041,White
36043,White
36045,White
36047,Non-White
36049,White
36051,White
36053,White
36055,White
36057,White
36059,White
36061,Non-White
36063,White
36065,White
36067,White
36069,White
36071,White
36073,White
36075,White
36077,White
36079,White
36081,Non-White
36083,White
36085,White
36087,White
36089,White
36091,White
36093,White
36095,White
36097,White
36099,White
36101,White
36103,White
36105,White
36107,White
36109,White
36111,White
36113,White
36115,White
36117,White
36119,White
36121,White
36123,White
37001,White
37003,White
37005,White
37007,Non-White
37009,White
37011,White
37013,White
37015,Non-White
37017,White
37019,White
37021,White
37023,White
37025,White
37027,White
37029,White
37031,White
37033,White
37035,White
37037,White
37039,White
37041,White
37043,White
37045,White
37047,White
37049,White
37051,Non-White
37053,White
37055,White
37057,White
37059,White
37061,White
37063,Non-White
37065,Non-White
37067,White
37069,White
37071,White
37073,White
37075,White
37077,White
37079,Non-White
37081,White
37083,Non-White
37085,White
37087,White
37089,White
37091,Non-White
37093,Non-White
37095,White
37097,White
37099,White
37101,White
37103,White
37105,White
37107,Non-White
37109,White
37111,White
37113,White
37115,White
37117,White
37119,Non-White
37121,White
37123,White
37125,White
37127,Non-White
37129,White
37131,Non-White
37133,White
37135,White
37137,White
37139,White
37141,White
37143,White
37145,White
37147,White
37149,White
37151,White
37153,White
37155,Non-White
37157,White
37159,White
37161,White
37163,White
37165,Non-White
37167,White
37169,White
37171,White
37173,White
37175,White
37177,White
37179,White
37181,Non-White
37183,White
37185,Non-White
37187,Non-White
37189,White
37191,White
37193,White
37195,Non-White
37197,White
37199,White
38001,White
38003,White
38005,Non-White
38007,White
38009,White
38011,White
38013,White
38015,White
38017,White
38019,White
38021,White
38023,White
38025,White
38027,White
38029,White
38031,White
38033,White
38035,White
38037,White
38039,White
38041,White
38043,White
38045,White
38047,White
38049,White
38051,White
38053,White
38055,White
38057,White
38059,White
38061,White
38063,White
38065,White
38067,White
38069,White
38071,White
38073,White
38075,White
38077,White
38079,Non-White
38081,White
38083,White
38085,Non-White
38087,White
38089,White
38091,White
38093,White
38095,White
38097,White
38099,White
38101,White
38103,White
38105,White
39001,White
39003,White
39005,White
39007,White
39009,White
39011,White
39013,White
39015,White
39017,White
39019,White
39021,White
39023,White
39025,White
39027,White
39029,White
39031,White
39033,White
39035,White
39037,White
39039,White
39041,White
39043,White
39045,White
39047,White
39049,White
39051,White
39053,White
39055,White
39057,White
39059,White
39061,White
39063,White
39065,White
39067,White
39069,White
39071,White
39073,White
39075,White
39077,White
39079,White
39081,White
39083,White
39085,White
39087,White
