GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
51041,White,White,61.79,22.74,3.43,0.04,8.83,2,urban
51043,White,White,86.13,5.37,0.66,0,5.57,2,urban
51045,White,White,98.63,0.1,0,0,0.04,3,suburban
51047,White,White,70.26,13.86,1.66,0.12,10.72,2,urban
51049,White,White,63.34,29.98,1.24,0,0.94,6,rural
51051,White,White,97.59,0.57,0.12,0,0.91,5,rural
51053,White,White,61.85,31.82,0.88,0.07,3.48,2,urban
51057,White,White,54.85,39.27,0.62,0,3.6,6,rural
51059,White,White,50.74,9.48,19.07,0.06,16.33,2,urban
51061,White,White,79.95,7.35,1.68,0.04,8.31,2,urban
51063,White,White,93.22,1.53,0.13,0,2.94,4,suburban
51065,White,White,78.17,14.21,0.72,0.11,3.52,4,suburban
51067,White,White,87.2,7.45,0.53,0,2.79,3,suburban
51069,White,White,83.44,3.87,1.33,0.1,8.6,4,suburban
51071,White,White,94.93,2.15,0.13,0.17,1.75,4,suburban
51073,White,White,84.86,8.81,0.74,0,3.57,2,urban
51075,White,White,77.74,15.86,1.3,0,2.85,2,urban
51077,White,White,89.68,5.5,0.35,0,3.45,6,rural
51079,White,White,82.64,5.24,1.7,0,5.85,4,suburban
51081,Black,Non-White,36.37,58.7,0.06,0,2.53,6,rural
51083,White,White,59.73,34.56,0.8,0,2.07,6,rural
51085,White,White,83.82,8.93,1.54,0.04,2.98,2,urban
51087,White,White,53.08,29.45,8.28,0.04,5.65,2,urban
51089,White,White,69.84,22.21,0.63,0,5.5,5,rural
51091,White,White,99.32,0,0,0,0,6,rural
51093,White,White,70.67,22.19,0.91,0.07,3.05,2,urban
51095,White,White,75.59,12.9,2.42,0.01,5.76,2,urban
51097,White,White,66.16,26.17,0,0,3.21,6,rural
51099,White,White,73.42,16.25,1.34,0,5.36,6,rural
51101,White,White,76.77,16.07,1.2,0,2.65,2,urban
51103,White,White,67.48,30.82,0.84,0,0.62,6,rural
51105,White,White,92.9,3.9,0.26,0,1.98,6,rural
