GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat,poverty_estimate,population,pctpov,poverty_quantile
13267,White,White,57.66,29.17,0.19,0.02,11.48,6,rural,4276,18988,22.519485991152308,4
13269,White,White,57.32,37.96,1.84,0,2.62,6,rural,2119,8061,26.287061158665175,4
13271,White,Non-White,48.94,38.5,0.02,0,11.41,6,rural,3617,12847,28.154432941542773,4
13273,Black,Non-White,35.61,58.11,3.1,0,2.82,4,suburban,2713,8511,31.87639525320174,4
13275,White,White,57.61,36.24,0.13,0.05,3.71,5,rural,9135,43838,20.8380856790912,4
13277,White,White,55.85,29.5,1.35,0,11.78,5,rural,9516,38528,24.69892026578073,4
13279,White,White,60.24,25.55,0.91,0,11.69,5,rural,6324,26662,23.719150851398997,4
13281,White,White,94.09,1.27,0.52,0,2.74,6,rural,1672,10558,15.83633263875734,3
13283,White,White,72.05,26.37,0,0,1.32,6,rural,1359,6422,21.16163189037683,4
13285,White,White,56.28,36.11,2.17,0,3.68,5,rural,13932,67998,20.488837906997265,4
13287,White,White,53.75,40.29,0.77,0,4.77,6,rural,2677,7593,35.25615698669827,4
